Time,Reltime,Treflect
9:22:21,21.5,21.57145
9:22:21,21.6,21.53488
9:22:21,21.7,21.54076
9:22:21,21.8,21.5827
9:22:21,21.9,21.53168
9:22:21,22,21.50376
9:22:22,22.1,21.53577
9:22:22,22.2,21.56214
9:22:22,22.3,21.5896
9:22:22,22.4,21.56986
9:22:22,22.5,21.6189
9:22:22,22.6,21.5779
9:22:22,22.7,21.57635
9:22:22,22.8,21.52823
9:22:22,22.9,21.574
9:22:22,23,21.56579
9:22:23,23.1,21.53793
9:22:23,23.2,21.52235
9:22:23,23.3,21.53503
9:22:23,23.4,21.53743
9:22:23,23.5,21.53061
9:22:23,23.6,21.52513
9:22:23,23.7,21.52754
9:22:23,23.8,21.57537
9:22:23,23.9,21.53471
9:22:23,24,21.53504
9:22:24,24.1,21.52316
9:22:24,24.2,21.55017
9:22:24,24.3,21.55443
9:22:24,24.4,21.56934
9:22:24,24.5,21.61647
9:22:24,24.6,21.61354
9:22:24,24.7,21.58739
9:22:24,24.8,21.65733
9:22:24,24.9,21.66947
9:22:24,25,21.68723
9:22:25,25.1,21.57287
9:22:25,25.2,21.56726
9:22:25,25.3,21.62964
9:22:25,25.4,21.61697
9:22:25,25.5,21.57619
9:22:25,25.6,21.6036
9:22:25,25.7,21.58521
9:22:25,25.8,21.64277
9:22:25,25.9,21.61296
9:22:25,26,21.65878
9:22:26,26.1,21.66737
9:22:26,26.2,21.66218
9:22:26,26.3,21.63571
9:22:26,26.4,21.62737
9:22:26,26.5,21.62737
9:22:26,26.6,21.62737
9:22:26,26.7,21.62737
9:22:26,26.8,21.62737
9:22:26,26.9,21.62737
9:22:26,27,21.62737
9:22:27,27.1,21.62737
9:22:27,27.2,21.62737
9:22:27,27.3,21.62737
9:22:27,27.4,21.62737
9:22:27,27.5,21.62737
9:22:27,27.6,21.63852
9:22:27,27.7,21.67048
9:22:27,27.8,21.66203
9:22:27,27.9,21.67503
9:22:27,28,21.64558
9:22:28,28.1,21.61478
9:22:28,28.2,21.6516
9:22:28,28.3,21.63616
9:22:28,28.4,21.65644
9:22:28,28.5,21.70635
9:22:28,28.6,21.71608
9:22:28,28.7,21.64862
9:22:28,28.8,21.62959
9:22:28,28.9,21.6845
9:22:28,29,21.72074
9:22:29,29.1,21.70093
9:22:29,29.2,21.74512
9:22:29,29.3,21.69362
9:22:29,29.4,21.69936
9:22:29,29.5,21.69861
9:22:29,29.6,21.73866
9:22:29,29.7,21.69887
9:22:29,29.8,21.71042
9:22:29,29.9,21.68867
9:22:29,30,21.71444
9:22:30,30.1,21.69754
9:22:30,30.2,21.67967
9:22:30,30.3,21.7248
9:22:30,30.4,21.70822
9:22:30,30.5,21.70011
9:22:30,30.6,21.73273
9:22:30,30.7,21.70958
9:22:30,30.8,21.75428
9:22:30,30.9,21.72551
9:22:30,31,21.72441
9:22:31,31.1,21.69708
9:22:31,31.2,21.70181
9:22:31,31.3,21.71865
9:22:31,31.4,21.69654
9:22:31,31.5,21.66247
9:22:31,31.6,21.6953
9:22:31,31.7,21.73437
9:22:31,31.8,21.69127
9:22:31,31.9,21.64509
9:22:31,32,21.6564
9:22:32,32.1,21.70549
9:22:32,32.2,21.64835
9:22:32,32.3,21.69168
9:22:32,32.4,21.65006
9:22:32,32.5,21.6457
9:22:32,32.6,21.67522
9:22:32,32.7,21.66704
9:22:32,32.8,21.66183
9:22:32,32.9,21.69795
9:22:32,33,21.66374
9:22:33,33.1,21.68759
9:22:33,33.2,21.65343
9:22:33,33.3,21.62696
9:22:33,33.4,21.65937
9:22:33,33.5,21.63647
9:22:33,33.6,21.69067
9:22:33,33.7,21.67388
9:22:33,33.8,21.64827
9:22:33,33.9,21.61109
9:22:33,34,21.6455
9:22:34,34.1,21.66968
9:22:34,34.2,21.69946
9:22:34,34.3,21.67745
9:22:34,34.4,21.64972
9:22:34,34.5,21.67093
9:22:34,34.6,21.65229
9:22:34,34.7,21.6416
9:22:34,34.8,21.62785
9:22:34,34.9,21.63928
9:22:34,35,21.6949
9:22:35,35.1,21.66657
9:22:35,35.2,21.62344
9:22:35,35.3,21.69343
9:22:35,35.4,21.64684
9:22:35,35.5,21.67218
9:22:35,35.6,21.67212
9:22:35,35.7,21.69201
9:22:35,35.8,21.67251
9:22:35,35.9,21.65309
9:22:35,36,21.67505
9:22:36,36.1,21.70991
9:22:36,36.2,21.7226
9:22:36,36.3,21.68691
9:22:36,36.4,21.70172
9:22:36,36.5,21.71326
9:22:36,36.6,21.77431
9:22:36,36.7,21.7619
9:22:36,36.8,21.75043
9:22:36,36.9,21.72559
9:22:36,37,21.72358
9:22:37,37.1,21.71983
9:22:37,37.2,21.6587
9:22:37,37.3,21.72172
9:22:37,37.4,21.67704
9:22:37,37.5,21.71571
9:22:37,37.6,21.68008
9:22:37,37.7,21.71838
9:22:37,37.8,21.69596
9:22:37,37.9,21.7276
9:22:37,38,21.74658
9:22:38,38.1,21.70619
9:22:38,38.2,21.71881
9:22:38,38.3,21.6716
9:22:38,38.4,21.72441
9:22:38,38.5,21.73057
9:22:38,38.6,21.76714
9:22:38,38.7,21.75394
9:22:38,38.8,21.75311
9:22:38,38.9,21.75207
9:22:38,39,21.76767
