Date,Time,Humidity,Temperature
2022-12-15,5:52:00 PM,24.6,20.25
2022-12-15,5:52:05 PM,24.6,20.25
2022-12-15,5:52:10 PM,24.6,20.25
2022-12-15,5:52:15 PM,24.6,20.25
2022-12-15,5:52:20 PM,24.5,20.25
2022-12-15,5:52:25 PM,24.6,20.25
2022-12-15,5:52:30 PM,24.6,20.25
2022-12-15,5:52:35 PM,24.6,20.3
2022-12-15,5:52:40 PM,24.6,20.25
2022-12-15,5:52:45 PM,24.6,20.3
2022-12-15,5:52:50 PM,24.5,20.3
2022-12-15,5:52:55 PM,24.5,20.3
2022-12-15,5:53:00 PM,24.5,20.3
2022-12-15,5:53:05 PM,24.4,20.3
2022-12-15,5:53:10 PM,24.4,20.3
2022-12-15,5:53:15 PM,24.4,20.3
2022-12-15,5:53:20 PM,24.4,20.3
2022-12-15,5:53:25 PM,24.3,20.3
2022-12-15,5:53:30 PM,24.3,20.3
2022-12-15,5:53:35 PM,24.3,20.3
2022-12-15,5:53:40 PM,24.3,20.3
2022-12-15,5:53:45 PM,24.3,20.3
2022-12-15,5:53:50 PM,24.3,20.25
2022-12-15,5:53:55 PM,24.2,20.3
2022-12-15,5:54:00 PM,24.2,20.3
2022-12-15,5:54:05 PM,24.2,20.25
2022-12-15,5:54:10 PM,24.2,20.25
2022-12-15,5:54:15 PM,24.2,20.25
2022-12-15,5:54:20 PM,24.2,20.25
2022-12-15,5:54:25 PM,24.2,20.25
2022-12-15,5:54:30 PM,24.2,20.2
2022-12-15,5:54:35 PM,24.2,20.25
2022-12-15,5:54:40 PM,24.2,20.25
2022-12-15,5:54:45 PM,24.2,20.2
2022-12-15,5:54:50 PM,24.2,20.2
2022-12-15,5:54:55 PM,24.2,20.2
2022-12-15,5:55:00 PM,24.2,20.25
2022-12-15,5:55:05 PM,24.2,20.2
2022-12-15,5:55:10 PM,24.3,20.2
2022-12-15,5:55:15 PM,24.3,20.2
2022-12-15,5:55:20 PM,24.2,20.2
2022-12-15,5:55:25 PM,24.2,20.2
2022-12-15,5:55:30 PM,24.2,20.2
2022-12-15,5:55:35 PM,24.2,20.2
2022-12-15,5:55:40 PM,24.2,20.15
2022-12-15,5:55:45 PM,24.3,20.15
2022-12-15,5:55:50 PM,24.3,20.2
2022-12-15,5:55:55 PM,24.3,20.15
2022-12-15,5:56:00 PM,24.3,20.2
2022-12-15,5:56:05 PM,24.3,20.2
2022-12-15,5:56:10 PM,24.3,20.2
2022-12-15,5:56:15 PM,24.3,20.15
2022-12-15,5:56:20 PM,24.3,20.2
2022-12-15,5:56:25 PM,24.3,20.15
2022-12-15,5:56:30 PM,24.3,20.2
2022-12-15,5:56:35 PM,24.3,20.2
2022-12-15,5:56:40 PM,24.3,20.2
2022-12-15,5:56:45 PM,24.3,20.2
2022-12-15,5:56:50 PM,24.3,20.2
2022-12-15,5:56:55 PM,24.3,20.2
2022-12-15,5:57:00 PM,24.3,20.2
2022-12-15,5:57:05 PM,24.3,20.2
2022-12-15,5:57:10 PM,24.3,20.2
2022-12-15,5:57:15 PM,24.3,20.2
2022-12-15,5:57:20 PM,24.3,20.2
2022-12-15,5:57:25 PM,24.2,20.2
2022-12-15,5:57:30 PM,24.2,20.2
2022-12-15,5:57:35 PM,24.2,20.2
2022-12-15,5:57:40 PM,24.2,20.2
2022-12-15,5:57:45 PM,24.2,20.2
2022-12-15,5:57:50 PM,24.2,20.25
2022-12-15,5:57:55 PM,24.2,20.25
2022-12-15,5:58:00 PM,24.2,20.25
2022-12-15,5:58:05 PM,24.2,20.25
2022-12-15,5:58:10 PM,24.2,20.2
2022-12-15,5:58:15 PM,24.2,20.25
2022-12-15,5:58:20 PM,24.2,20.25
2022-12-15,5:58:25 PM,24.2,20.25
2022-12-15,5:58:30 PM,24.1,20.25
2022-12-15,5:58:35 PM,24.1,20.25
2022-12-15,5:58:40 PM,24.1,20.25
2022-12-15,5:58:45 PM,24.1,20.25
2022-12-15,5:58:50 PM,24.1,20.25
2022-12-15,5:58:55 PM,24.1,20.25
2022-12-15,5:59:00 PM,24.1,20.25
2022-12-15,5:59:05 PM,24.1,20.25
2022-12-15,5:59:10 PM,24.1,20.2
2022-12-15,5:59:15 PM,24,20.25
2022-12-15,5:59:20 PM,24,20.2
2022-12-15,5:59:25 PM,24,20.2
2022-12-15,5:59:30 PM,24,20.2
2022-12-15,5:59:35 PM,24,20.2
2022-12-15,5:59:40 PM,24,20.2
2022-12-15,5:59:45 PM,24,20.2
2022-12-15,5:59:50 PM,24,20.2
2022-12-15,5:59:55 PM,24,20.2
2022-12-15,6:00:00 PM,24,20.2
2022-12-15,6:00:05 PM,24,20.2
2022-12-15,6:00:10 PM,24,20.2
2022-12-15,6:00:15 PM,24,20.2
2022-12-15,6:00:20 PM,24,20.2
2022-12-15,6:00:25 PM,24.1,20.2
2022-12-15,6:00:30 PM,24.1,20.2
2022-12-15,6:00:35 PM,24.1,20.2
2022-12-15,6:00:40 PM,24.1,20.2
2022-12-15,6:00:45 PM,24.1,20.2
2022-12-15,6:00:50 PM,24.1,20.2
2022-12-15,6:00:55 PM,24.1,20.2
2022-12-15,6:01:00 PM,24.1,20.2
2022-12-15,6:01:05 PM,24.1,20.2
2022-12-15,6:01:10 PM,24.1,20.2
2022-12-15,6:01:15 PM,24.1,20.2
2022-12-15,6:01:20 PM,24.1,20.2
2022-12-15,6:01:25 PM,24,20.2
2022-12-15,6:01:30 PM,24,20.2
2022-12-15,6:01:35 PM,24.1,20.2
2022-12-15,6:01:40 PM,24,20.2
2022-12-15,6:01:45 PM,24.1,20.2
2022-12-15,6:01:50 PM,24,20.2
2022-12-15,6:01:55 PM,24,20.2
2022-12-15,6:02:00 PM,24,20.15
2022-12-15,6:02:05 PM,24,20.2
2022-12-15,6:02:10 PM,24,20.2
2022-12-15,6:02:15 PM,24,20.2
2022-12-15,6:02:20 PM,24,20.2
2022-12-15,6:02:25 PM,24,20.2
2022-12-15,6:02:30 PM,24,20.2
2022-12-15,6:02:35 PM,24,20.2
2022-12-15,6:02:40 PM,24,20.2
2022-12-15,6:02:45 PM,24,20.2
2022-12-15,6:02:50 PM,23.9,20.2
2022-12-15,6:02:55 PM,23.9,20.2
2022-12-15,6:03:00 PM,23.9,20.2
2022-12-15,6:03:05 PM,24,20.2
2022-12-15,6:03:10 PM,24,20.2
2022-12-15,6:03:15 PM,23.9,20.2
2022-12-15,6:03:20 PM,23.9,20.2
2022-12-15,6:03:25 PM,24,20.2
2022-12-15,6:03:30 PM,24,20.2
2022-12-15,6:03:35 PM,24,20.2
2022-12-15,6:03:40 PM,24,20.2
2022-12-15,6:03:45 PM,24,20.2
2022-12-15,6:03:50 PM,24,20.2
2022-12-15,6:03:55 PM,23.9,20.2
2022-12-15,6:04:00 PM,23.9,20.2
2022-12-15,6:04:05 PM,23.9,20.2
2022-12-15,6:04:10 PM,23.9,20.2
2022-12-15,6:04:15 PM,23.9,20.2
2022-12-15,6:04:20 PM,23.9,20.2
2022-12-15,6:04:25 PM,23.9,20.25
2022-12-15,6:04:30 PM,24,20.25
2022-12-15,6:04:35 PM,23.9,20.25
2022-12-15,6:04:40 PM,24,20.25
2022-12-15,6:04:45 PM,24,20.25
2022-12-15,6:04:50 PM,24,20.25
2022-12-15,6:04:55 PM,24,20.25
2022-12-15,6:05:00 PM,24,20.25
2022-12-15,6:05:05 PM,24,20.25
2022-12-15,6:05:10 PM,23.9,20.25
2022-12-15,6:05:15 PM,23.9,20.25
2022-12-15,6:05:20 PM,23.9,20.25
2022-12-15,6:05:25 PM,24,20.25
2022-12-15,6:05:30 PM,23.9,20.3
2022-12-15,6:05:35 PM,23.9,20.3
2022-12-15,6:05:40 PM,23.9,20.3
2022-12-15,6:05:45 PM,23.9,20.3
2022-12-15,6:05:50 PM,23.9,20.3
2022-12-15,6:05:55 PM,23.9,20.3
2022-12-15,6:06:00 PM,23.9,20.3
2022-12-15,6:06:05 PM,23.9,20.3
2022-12-15,6:06:10 PM,23.9,20.3
2022-12-15,6:06:15 PM,23.9,20.3
2022-12-15,6:06:20 PM,23.9,20.3
2022-12-15,6:06:25 PM,23.9,20.3
2022-12-15,6:06:30 PM,23.9,20.3
2022-12-15,6:06:35 PM,23.9,20.3
2022-12-15,6:06:40 PM,23.9,20.3
