Time,Reltime,Treflect
11:20:00,0,23.45967
11:20:00,0.1,23.48681
11:20:00,0.2,23.50284
11:20:00,0.3,23.50643
11:20:00,0.4,23.48089
11:20:00,0.5,23.5076
11:20:00,0.6,23.51079
11:20:00,0.7,23.50853
11:20:00,0.8,23.46985
11:20:00,0.9,23.43074
11:20:01,1,23.42025
11:20:01,1.1,23.41879
11:20:01,1.2,23.41087
11:20:01,1.3,23.40533
11:20:01,1.4,23.43137
11:20:01,1.5,23.41325
11:20:01,1.6,23.44623
11:20:01,1.7,23.41962
11:20:01,1.8,23.40899
11:20:01,1.9,23.41411
11:20:02,2,23.40936
11:20:02,2.1,23.42567
11:20:02,2.2,23.42718
11:20:02,2.3,23.43767
11:20:02,2.4,23.4689
11:20:02,2.5,23.44958
11:20:02,2.6,23.48582
11:20:02,2.7,23.43773
11:20:02,2.8,23.476
11:20:02,2.9,23.43751
11:20:03,3,23.48943
11:20:03,3.1,23.45794
11:20:03,3.2,23.44996
11:20:03,3.3,23.46811
11:20:03,3.4,23.46183
11:20:03,3.5,23.47713
11:20:03,3.6,23.47365
11:20:03,3.7,23.50077
11:20:03,3.8,23.54765
11:20:03,3.9,23.53063
11:20:04,4,23.51493
11:20:04,4.1,23.47768
11:20:04,4.2,23.47635
11:20:04,4.3,23.47929
11:20:04,4.4,23.50904
11:20:04,4.5,23.46626
11:20:04,4.6,23.49617
11:20:04,4.7,23.52464
11:20:04,4.8,23.50135
11:20:04,4.9,23.5235
11:20:05,5,23.52992
11:20:05,5.1,23.51153
11:20:05,5.2,23.48765
11:20:05,5.3,23.51646
11:20:05,5.4,23.53425
11:20:05,5.5,23.51237
11:20:05,5.6,23.51142
11:20:05,5.7,23.50151
11:20:05,5.8,23.50395
11:20:05,5.9,23.50065
11:20:06,6,23.49951
11:20:06,6.1,23.51069
11:20:06,6.2,23.52353
11:20:06,6.3,23.52754
11:20:06,6.4,23.53845
11:20:06,6.5,23.52322
11:20:06,6.6,23.56571
11:20:06,6.7,23.52739
11:20:06,6.8,23.56484
11:20:06,6.9,23.48228
11:20:07,7,23.53749
11:20:07,7.1,23.48241
11:20:07,7.2,23.52351
11:20:07,7.3,23.49683
11:20:07,7.4,23.48688
11:20:07,7.5,23.50849
11:20:07,7.6,23.49365
11:20:07,7.7,23.56118
11:20:07,7.8,23.54499
11:20:07,7.9,23.55985
11:20:08,8,23.56218
11:20:08,8.1,23.58171
11:20:08,8.2,23.56849
11:20:08,8.3,23.54762
11:20:08,8.4,23.55294
11:20:08,8.5,23.60252
11:20:08,8.6,23.62354
11:20:08,8.7,23.58803
11:20:08,8.8,23.58027
11:20:08,8.9,23.57576
11:20:09,9,23.56911
11:20:09,9.1,23.56808
11:20:09,9.2,23.55964
11:20:09,9.3,23.55964
11:20:09,9.4,23.55964
11:20:09,9.5,23.55964
11:20:09,9.6,23.55964
11:20:09,9.7,23.55964
11:20:09,9.8,23.55964
11:20:09,9.9,23.55964
11:20:10,10,23.55964
11:20:10,10.1,23.55964
11:20:10,10.2,23.55964
11:20:10,10.3,23.55964
11:20:10,10.4,23.589
11:20:10,10.5,23.64839
11:20:10,10.6,23.60686
11:20:10,10.7,23.57382
11:20:10,10.8,23.57729
11:20:10,10.9,23.58945
11:20:11,11,23.65168
11:20:11,11.1,23.59647
11:20:11,11.2,23.58736
11:20:11,11.3,23.57478
11:20:11,11.4,23.62157
11:20:11,11.5,23.62409
11:20:11,11.6,23.61751
11:20:11,11.7,23.62151
11:20:11,11.8,23.63008
11:20:11,11.9,23.62758
11:20:12,12,23.6657
11:20:12,12.1,23.67052
11:20:12,12.2,23.66673
11:20:12,12.3,23.61785
11:20:12,12.4,23.62107
11:20:12,12.5,23.64382
11:20:12,12.6,23.63069
11:20:12,12.7,23.62398
11:20:12,12.8,23.63033
11:20:12,12.9,23.64592
11:20:13,13,23.61526
11:20:13,13.1,23.62503
11:20:13,13.2,23.6162
11:20:13,13.3,23.6092
11:20:13,13.4,23.64542
11:20:13,13.5,23.63758
11:20:13,13.6,23.65152
11:20:13,13.7,23.65825
11:20:13,13.8,23.62646
11:20:13,13.9,23.63821
11:20:14,14,23.61713
11:20:14,14.1,23.60663
11:20:14,14.2,23.6128
11:20:14,14.3,23.61981
11:20:14,14.4,23.63191
11:20:14,14.5,23.58943
11:20:14,14.6,23.6245
11:20:14,14.7,23.56408
11:20:14,14.8,23.57517
11:20:14,14.9,23.56225
11:20:15,15,23.58837
11:20:15,15.1,23.6212
11:20:15,15.2,23.56554
11:20:15,15.3,23.59054
11:20:15,15.4,23.60986
11:20:15,15.5,23.57971
11:20:15,15.6,23.59229
11:20:15,15.7,23.66699
11:20:15,15.8,23.63312
11:20:15,15.9,23.59434
11:20:16,16,23.63268
11:20:16,16.1,23.60574
11:20:16,16.2,23.61207
11:20:16,16.3,23.59288
11:20:16,16.4,23.60036
11:20:16,16.5,23.62261
11:20:16,16.6,23.61452
11:20:16,16.7,23.63868
11:20:16,16.8,23.63684
11:20:16,16.9,23.64685
11:20:17,17,23.62836
11:20:17,17.1,23.68521
11:20:17,17.2,23.66281
11:20:17,17.3,23.69715
11:20:17,17.4,23.69563
11:20:17,17.5,23.66976
11:20:17,17.6,23.67981
11:20:17,17.7,23.68224
11:20:17,17.8,23.70014
11:20:17,17.9,23.6895
11:20:18,18,23.68369
11:20:18,18.1,23.65447
11:20:18,18.2,23.6338
11:20:18,18.3,23.63304
11:20:18,18.4,23.63817
11:20:18,18.5,23.65207
11:20:18,18.6,23.67741
11:20:18,18.7,23.63742
11:20:18,18.8,23.61995
11:20:18,18.9,23.64306
11:20:19,19,23.66963
11:20:19,19.1,23.68073
11:20:19,19.2,23.65361
11:20:19,19.3,23.63948
11:20:19,19.4,23.65816
11:20:19,19.5,23.69374
11:20:19,19.6,23.67392
11:20:19,19.7,23.73078
11:20:19,19.8,23.73125
11:20:19,19.9,23.67378
11:20:20,20,23.65457
11:20:20,20.1,23.65205
11:20:20,20.2,23.65149
11:20:20,20.3,23.6347
11:20:20,20.4,23.68883
11:20:20,20.5,23.67482
11:20:20,20.6,23.72519
11:20:20,20.7,23.71919
11:20:20,20.8,23.72389
11:20:20,20.9,23.68345
11:20:21,21,23.68981
11:20:21,21.1,23.71926
11:20:21,21.2,23.73834
11:20:21,21.3,23.7408
11:20:21,21.4,23.68978
11:20:21,21.5,23.64986
11:20:21,21.6,23.61385
11:20:21,21.7,23.62141
11:20:21,21.8,23.63962
11:20:21,21.9,23.63418
11:20:22,22,23.70754
11:20:22,22.1,23.65725
11:20:22,22.2,23.65417
11:20:22,22.3,23.61493
11:20:22,22.4,23.59638
11:20:22,22.5,23.59485
11:20:22,22.6,23.65482
11:20:22,22.7,23.64078
11:20:22,22.8,23.62313
11:20:22,22.9,23.63377
11:20:23,23,23.66671
11:20:23,23.1,23.67629
11:20:23,23.2,23.65187
11:20:23,23.3,23.67437
11:20:23,23.4,23.66714
11:20:23,23.5,23.70361
11:20:23,23.6,23.66948
11:20:23,23.7,23.67358
11:20:23,23.8,23.68024
11:20:23,23.9,23.69672
11:20:24,24,23.70403
11:20:24,24.1,23.67105
11:20:24,24.2,23.73612
11:20:24,24.3,23.75082
11:20:24,24.4,23.74554
11:20:24,24.5,23.77276
11:20:24,24.6,23.74049
11:20:24,24.7,23.80691
11:20:24,24.8,23.77956
11:20:24,24.9,23.77078
11:20:25,25,23.77593
11:20:25,25.1,23.76521
11:20:25,25.2,23.76363
11:20:25,25.3,23.76436
11:20:25,25.4,23.75113
11:20:25,25.5,23.71115
11:20:25,25.6,23.71991
11:20:25,25.7,23.74238
11:20:25,25.8,23.7517
11:20:25,25.9,23.7261
11:20:26,26,23.71781
